genreId:ID(Genre),name
m.08ty54,Puppetoon
m.08w0_f,Albinism in popular culture
m.0949yv,Serial film
m.094ddt,Doomsday film
m.095bb,Animated cartoon
m.0960nh,Yakuza film
m.096h3,Nuclear warfare
m.09blyk,Psychological thriller
m.09c4j_,Teen pornography
m.09dhj,Family
m.09g__2,Webisode
m.09ggcsk,Found footage
m.09glv8x,Film à clef
m.09kqc,Humour
m.09lmb,Reality television
m.09ny0f,East Asian cinema
m.09q17,Slapstick
m.09s1f,Business
m.09swn,Operetta
m.09tvt3,School story
m.09yb9h,Montage
m.09zvmj,Space Western
m.0b5_s_,Prison escape
m.0b7z1vt,Road-Horror
m.0bbc17,Gross out
m.0bbcs1d,Docmentary
m.0bc42t_,Gay Interest
m.0bfryx5,Adevnture
m.0bh7f0v,Gujarati cinema
m.0bkbm,Spy film
m.0bps_n,Singing cowboy
m.0bt0c,Future history
m.0bwgnb,Christmas movie
m.0bx6ch9,Political Documetary
m.0bxdv5,Race film
m.0bxg3,Fairy tale
m.0c031k6,Live action
m.0c261k,Viral video
m.0c3351,Suspense
m.0c5hv,Evil clown
m.0clz1b,Slice of life
m.0cq22_5,Tearjerkers
m.0cq22bh,Rock & Pop
m.0cq22c8,Special Interest
m.0cq22cn,Social & Cultural Documentaries
m.0cq22c_,Biographical Documentaries
m.0cq22ds,Film & Television History
m.0cq22f9,Action Thriller
m.0cq22gk,TV Documentaries
m.0cq22j3,Kids' TV
m.0cq22jn,Ages 5-7
m.0cq22kd,Science and Nature Documentaries
m.0cq22nj,Jazz & Easy Listening
m.0cq22q5,Supernatural Horror
m.0cq22s9,Ages 2-4
m.0cq22sr,Travel & Adventure Documentaries
m.0cq22tt,Family Comedies
m.0cq22z7,Sci-Fi Horror
m.0cq230n,Showbiz Dramas
m.0cq232n,Teen Screams
m.0cq232t,Alien Sci-Fi
m.0cq237g,African-American Comedies
m.0cq238z,Anime Sci-Fi
m.0cq23cb,Outdoor & Mountain Sports
m.0cq23f0,Sci-Fi Adventure
